ČESKY;ANGLICKY
abstrakt;abstract
adaptér;adapter
adresář;directory
algoritmus;algorithm
ambice;ambition
amplituda;amplitude
analytik;analyst
analytika;analytics
analýza;analysis
analýza rizik;risk analysis
anketa;survey
antivir;antivirus
aplikace;application
argument;argument
architektura;architecture
archiv;archive
asistent;assistant
assembler;assembly
audit;audit
autentizace;authentication
automat;automaton
automatizace;automation
autorizace;authorization
autorské právo;copyright
bakalář;bachelor's graduate
bakalářka;bachelor's thesis
bezpečnost;safety
bibliografie;bibliography
biometrie;biometrics
brožura;brochure
certifikát;certificate
cíl;goal
citace;citation
citlivost;sensitivity
cloud;cloud
cloudová služba;cloud service
cvičení;exercise
čip;chip
číslo;number
článek;article
databáze;database
datová analýza;data analysis
datový bod;data point
datový soubor;dataset
deadline;deadline
definice;definition
děkan;dean
dekódování;decoding
demodulace;demodulation
derivace;derivative
deska;board
dešifrování;decryption
detekce;detection
detektor;detector
diagram;diagram
digitizér;digitizer
dioda;diode
diplomka;master's thesis
disertace;dissertation
diskuze;discussion
docent;associate professor
docker;Docker
dodatek;addendum
dodavatel;supplier
dohled;supervision
dohoda;agreement
dokumentace;documentation
dopad;impact
dotační program;funding program
dotazník;questionnaire
důkaz;proof
editor;editor
elektrárna;power plant
elektřina;electricity
energetika;power engineering
enkódování;encoding
evidence;record-keeping
experiment;experiment
faktor;factor
faktura;invoice
fakturace;invoicing
fakulta;faculty
fáze;phase
filtr;filter
firewall;firewall
firma;firm
firmware;firmware
forma;form
formát;format
franšíza;franchise
frekvence;frequency
funkce;function
garance;warranty
generátor;generator
graf;graph
grafika;graphics
grant;grant
grantová agentura;grant agency
hardware;hardware
harmonogram;timeline
heslo;password
hlas;voice
hmotnost;mass
hodnocení;assessment
hrozba;threat
hřídel;shaft
hustota;density
hypotéza;hypothesis
chladivo;coolant
chyba;error
chytrý senzor;smart sensor
induktor;inductor
infrastruktura;infrastructure
instituce;institution
integrace;integration
integrovaný obvod;integrated circuit
interpretace;interpretation
investice;investment
izolace;insulation
jaderná elektrárna;nuclear power plant
java;Java
jednání;negotiation
jednotka;unit
kalibrace;calibration
kalkulace;calculation
kapacita;capacitance
kapacitor;capacitor
kapalina;liquid
kapitola;chapter
katedra;faculty department
klasifikace;classification
klešťový ampérmetr;clamp meter
klíč;key
klíčové slovo;keyword
knihovna;library
kód;code
kolísání;fluctuation
komise;committee
kompilace;compilation
komponenta;component
koncept;concept
konektor;connector
konference;conference
konfigurace;configuration
konstrukce;construction
kontakt;contact
kontejner;container
kontext;context
kontrola;inspection
kontrola přístupu;access control
konzultace;consultation
konzultant;consultant
korelace;correlation
koroze;corrosion
kritérium;criterion
kritika;critique
kryptografie;cryptography
krystal;crystal
kubernetes;Kubernetes
kvalita;quality
kvantita;quantity
laborant;lab technician
laboratorní zdroj;lab power supply
laboratoř;laboratory
laser;laser
latence;latency
lhůta;deadline
licence;license
limita;limit
lineární pohon;linear actuator
listina;document
ložisko;bearing
magistr;master's graduate
malware;malware
materiál;material
matice;matrix
matlab;MATLAB
mazivo;lubricant
mechanické napětí;stress
měnič;inverter
měření;measurement
metoda;method
metodika;methodology
metodologie;methodology
metrika;metric
mikroskop;microscope
model;model
modul;module
modulace;modulation
moment;torque
monitor;monitor
monitorování;monitoring
motor;motor
multimetr;multimeter
mzda;wage
nabídka;offer
náhradní díl;spare part
napětí;voltage
nastavení;setting
návratnost;return
návrh;design
názor;opinion
neurální síť;neural network
norma;norm
notebook;notebook
objednávka;order
objem;volume
obnova;recovery
obrana;defense
obsah;contents
odběratel;buyer
odborník;expert
oddělení;department
odečet;reading
odezva;response
odpor;resistance
odpověď;answer
odpovědnost;responsibility
filtrování;filtering
odstavec;paragraph
ochrana;protection
ochranná známka;trademark
opatrnost;caution
oponent;opponent
opotřebení;wear
oprava;repair
optický kabel;optical cable
optika;optics
optimalizace;optimization
osciloskop;oscilloscope
otázka;question
otisk prstu;fingerprint
ovladač;driver
oznámení;notification
ozubení;gear
paměť;memory
parametr;parameter
pásmo;band
patent;patent
penále;penalty
pevná látka;solid
pevnost;strength
pevnost materiálu;material strength
plakát;poster
plán;plan
plat;salary
platforma;platform
plyn;gas
počítač;computer
podepsání;signing
podklad;background material
podpora;support
pojistka;fuse
pojištění;insurance
pokrok;progress
pokuta;fine
poloha;position
poplatek;fee
porada;council
porovnání;comparison
porušení;violation
postoj;attitude
postup;procedure
povolení;permit
povrch;surface
pozvánka;invitation
požadavek;requirement
pravděpodobnost;probability
praxe;practice
prevence;prevention
prezenční listina;attendance list
prezentace;presentation
profesor;professor
program;agenda
programování;programming
projekt;project
projektor;projector
proměnná;variable
propustnost;throughput
prostředí;environment
protokol;protocol
prototyp;prototype
proud;current
provoz;operation
průmysl;industry
průmyslový vzor;industrial design
předmět;subject
přednáška;lecture
přenos;transfer
přepětí;overvoltage
přesnost;accuracy
přetvoření;deformation
převodník;converter
příjem;income
příležitost;opportunity
příloha;appendix
připojení;connection
komentář;comment
publikace;publication
publikování;publishing
python;Python
recenze;review
regrese;regression
rektor;rector
relé;relay
relevance;relevance
reologie;rheology
rešerše;literature review
rezistor;resistor
riziko;risk
robot;robot
rovnice;equation
rovnováha;equilibrium
rozeznávání;recognition
rozhodce;arbitrator
rozhodnutí;decision
rozhovor;interview
rozhraní;interface
rozpočet;budget
rozpočet projektu;project budget
rozvaha;balance sheet
rozvrh;schedule
rušení;interference
rychlost;speed
řadič;controller
řadič clusteru;cluster controller
pás;belt
řešitel;principal investigator
řetěz;chain
sdílení;sharing
sekvence;sequence
selhání;failure
seminář;seminar
senzor;sensor
server;server
serverovna;server room
servo;servo
schéma;scheme
schůzka;meeting
schválení;approval
signál;signal
signální kabel;signal cable
síla;force
simulace;simulation
simulink;Simulink
síť;network
sítnice;retina
sklad;warehouse
slajd;slide
sleva;discount
složka;folder
směr;direction
směrnice;guideline
smír;settlement
smlouva;contract
software;software
solární panel;solar panel
sondáž;poll
soubor;file
součástka;part
součet;sum
součin;product
souřadnice;coordinates
specifikace;specification
spektrální analyzátor;spectrum analyzer
spektrometr;spectrometer
spínač;switch
spoj;connection
společnost;company
spolupráce;collaboration
spor;dispute
stabilita;stability
standard;standard
stanovisko;stance
statistika;statistics
stránka;page
strategie;strategy
strojové učení;machine learning
stykač;contactor
svár;weld
svorkovnice;terminal block
syllabus;syllabus
synchronizace;synchronization
syntéza;synthesis
systém;system
šablona;template
šéf;boss
šifrování;encryption
škálovatelnost;scalability
školení;training
školitel;advisor
tabulka;table
taktika;tactic
technik;technician
technologie;technology
teorie;theory
tepelná elektrárna;thermal power plant
teplota;temperature
terminologie;terminology
tester;tester
testování;testing
teze;thesis statement
tištěný spoj;printed circuit board
tlak;pressure
tok;flow
token;token
transformátor;transformer
tranzistor;transistor
trénink;training
trvanlivost;durability
tuhost;stiffness
tvar;shape
účast;participation
údržba;maintenance
ukázka;demonstration
úkol;task
umělá inteligence;artificial intelligence
únavová zkouška;fatigue test
univerzita;university
upozornění;alert
usměrňovač;rectifier
úspěch;success
útok;attack
užití;usage
užitný vzor;utility model
uživatel;user
validace;validation
valná hromada;general assembly
vedení;management
vedoucí;supervisor
vektor;vector
veličina;quantity
velké množství dat;big data
verifikace;verification
verze;version
větrná elektrárna;wind power plant
virtuální stroj;virtual machine
vlákno;fiber
vlastnost;property
vlhkost;humidity
vlnová délka;wavelength
vodní elektrárna;hydroelectric power plant
výbor;board
výdaj;expense
vyhláška;ordinance
vyhodnocení;evaluation
výkon;power
výnos;revenue
výpočet;computation
výpočetní výkon;computing power
výsledek;result
výsledovka;income statement
výstup;output
výuka;teaching
vývoj;development
výzkum;research
výzkumné centrum;research center
výzkumník;researcher
výzva;call for proposals
vzduch;air
vzorek;sample
vzorek materiálu;material sample
vzorkování;sampling
zabezpečení;security
zákon;law
záloha;backup
záložka;bookmark
záměr;intention
záruka;guarantee
zátěž;load
závada;fault
závazek;obligation
záznam;record
zdroj;power supply
zemnění;grounding
zesilovač;amplifier
zeslabení;attenuation
zisk;profit
zjištění;finding
zkouška;exam
zkouška pevnosti;strength test
změna;change
zpracování;processing
zpráva;report
zranitelnost;vulnerability
životnost;lifetime
